rank_access_gap,commune_old,nearest_higher_level_facility_name,road_time_to_higher_level_min,road_distance_to_higher_level_km,road_length_km,area_km2_2006_official,road_density_km_per_km2,road_time_norm,isolation_norm_low_road_density,population_norm,access_gap_score,access_gap_formula,data_version,access_gap_operational_score_no_population,access_gap_total_score_with_population_for_commune_ranking,access_gap_weight_status,population_norm_retained_for_need_score,population_worldpop_2020_reference,population_worldpop_2023_proportional,population_source_for_scoring,population_allocation_assumption
1,Xuân Lao,Trung tâm Y tế Mường Ảng,70.6,24.868,35.12,54.7805,0.641,0.9898,1.0,0.4253,0.9934,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.9934,0.823,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.4253,5661.66,5416.66,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
2,Búng Lao,Trung tâm Y tế Mường Ảng,71.3,20.63,50.43,52.6323,0.9582,1.0,0.9526,0.8076,0.9834,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.9834,0.9304,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.8076,8732.65,8354.76,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
3,Ngối Cáy,Trung tâm Y tế Mường Ảng,67.0,21.003,45.07,52.3722,0.8605,0.9375,0.9672,0.0577,0.9479,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.9479,0.681,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.0577,2708.44,2591.24,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
4,Mường Đăng,Trung tâm Y tế Mường Ảng,60.4,16.588,75.18,61.4806,1.2229,0.8416,0.913,0.2207,0.8666,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.8666,0.6732,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.2207,4017.71,3843.85,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
5,Mường Lạn,Trung tâm Y tế Mường Ảng,61.1,24.456,59.65,40.5116,1.4724,0.8517,0.8757,0.1507,0.8601,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.8601,0.6474,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.1507,3455.29,3305.77,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
6,Nặm Lịch,Trung tâm Y tế Mường Ảng,49.0,16.276,49.34,35.82,1.3774,0.6759,0.8899,0.0,0.7508,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.7508,0.5266,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.0,2244.71,2147.57,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
7,Ẳng Cang,Trung tâm Y tế Mường Ảng,47.5,13.996,114.53,54.3783,2.1062,0.6541,0.7809,1.0,0.6985,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.6985,0.7896,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,1.0,10278.15,9833.38,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
8,Ẳng Tở,Trung tâm Y tế Mường Ảng,40.9,11.605,68.68,59.78584,1.1488,0.5581,0.9241,0.5761,0.6862,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.6862,0.655,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.5761,6872.87,6575.46,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
9,Ẳng Nưa,Trung tâm Y tế Mường Ảng,10.8,3.229,64.9,24.98716,2.5975,0.1206,0.7074,0.2734,0.326,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.326,0.3132,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.2734,4441.1,4248.92,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
10,Thị trấn Mường Ảng,Trung tâm Y tế Mường Ảng,2.5,0.582,47.31,6.45504,7.3284,0.0,0.0,0.2437,0.0,0.65*RoadTimeNorm + 0.35*IsolationNorm; population removed here to avoid double counting in Need Score,v5_population_2023_proportional,0.0,0.0731,MODEL_ASSUMPTION; test sensitivity +/-10-20% later,0.2437,4202.69,4020.83,WorldPop 2023 total allocated by 2020 commune proportions,Assumes commune shares in 2023 follow 2020 spatial distribution because 2023 commune-level extraction is not available yet
