province,district_old,commune_old,commune_ascii,admin_type,gadm_id,centroid_lat,centroid_lon,boundary_source,name_verified_by
Điện Biên,Mường Ảng,Ẳng Cang,AngCang,Xã,VNM.20.4.1_1,21.4790448,103.2235629,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Ẳng Nưa,AngNua,Xã,VNM.20.4.2_1,21.5147549,103.1935133,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Ẳng Tở,AngTo,Xã,VNM.20.4.3_1,21.5625589,103.2632421,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Búng Lao,BungLao,Xã,VNM.20.4.4_1,21.5254399,103.3140466,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Thị trấn Mường Ảng,MuongAng,Thịtrấn,VNM.20.4.5_1,21.5220138,103.2176322,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Mường Đăng,MuongDang,Xã,VNM.20.4.6_1,21.5797053,103.1560286,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Mường Lạn,MuongLan,Xã,VNM.20.4.7_1,21.4431005,103.291666,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Nặm Lịch,NamLich,Xã,VNM.20.4.8_1,21.4649318,103.2625476,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Ngối Cáy,NgoiCay,Xã,VNM.20.4.9_1,21.596015,103.21526,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
Điện Biên,Mường Ảng,Xuân Lao,XuanLao,Xã,VNM.20.4.10_1,21.4549354,103.360537,GADM v4.0 ADM3,Nghị định 135/2006/NĐ-CP
